   1   0 0.004899860294 0.01896045305
   1   1 0.01348956302 3.689320344e-05
   1  -1 -0.001586695276 -0.02296259361
   2   0 0.01248459984 0.0253062577
   2   1 -0.04462658557 0.01095001893
   2  -1 0.02959913658 -0.01987482599
   2   2 0.07417256867 0.01154175441
   2  -2 -0.02012012779 -0.01865862193
   3   0 -0.01538917504 -0.03330530699
   3   1 -0.03595386139 -0.006442123278
   3  -1 0.0001408254854 0.01721192864
   3   2 -0.08462916894 -0.03282327775
   3  -2 -0.06188346639 0.0005174600569
   3   3 0.04098236559 -0.03570803376
   3  -3 0.07871214173 -0.03677819006
   4   0 0.03662234399 -0.007922324457
   4   1 -0.02395416005 -0.03995029978
   4  -1 -0.08829897111 -0.02578133872
   4   2 -0.003104869186 -0.0580455172
   4  -2 0.02887821963 0.03085412941
   4   3 -0.09120378043 0.06997667727
   4  -3 -0.07333642107 0.05386227107
   4   4 -0.04354814651 0.0219431408
   4  -4 0.05957937397 0.0104559957
   5   0 -0.003324836223 -0.005665468903
   5   1 -0.0588623347 0.008514854111
   5  -1 0.05465705003 0.007180258771
   5   2 0.02168567441 0.1000827008
   5  -2 0.06337481844 -0.0522012769
   5   3 0.02912493123 -0.05475228124
   5  -3 0.07213393541 -0.06295905754
   5   4 0.03606259656 -0.05566225388
   5  -4 -0.06224717701 0.01285111903
   5   5 -0.008615635758 -0.0007139335483
   5  -5 -0.03620860055 -0.0289949099
   6   0 -0.04553130642 -0.03005489675
   6   1 0.09493358479 -0.0302918306
   6  -1 -0.001968675317 0.04630762538
   6   2 -0.00930429971 -0.02550592964
   6  -2 0.01013012497 0.04400946414
   6   3 0.007409045225 -0.03632321475
   6  -3 -0.03438569146 0.04335860572
   6   4 -0.07643807816 0.01710011443
   6  -4 0.07103664862 0.06709311873
   6   5 0.02600728769 0.05287753943
   6  -5 0.04044792086 0.02848212319
   6   6 0.03537711613 0.02417657932
   6  -6 -0.008150328255 -0.003124898904
   7   0 0.02115193452 0.03090243612
   7   1 0.04177218049 0.0109293159
   7  -1 -0.02412088226 -0.01122723066
   7   2 -0.01142653569 -0.03351442212
   7  -2 -0.03959971775 0.05505126715
   7   3 -0.06630704169 0.03420981926
   7  -3 -0.0005887045755 -0.007538569461
   7   4 -0.02529330705 0.02357117108
   7  -4 0.04497807411 -0.02823971527
   7   5 -0.005517647353 -0.009094927038
   7  -5 -0.03264273748 -0.03246292691
   7   6 -0.05907519789 -0.003015752216
   7  -6 0.05745866154 -0.005872368638
   7   7 0.0410104618 -0.02913164216
   7  -7 0.0102665852 0.004094623185
   8   0 -0.01322252359 0.02055039713
   8   1 -0.03461338356 0.02214885181
   8  -1 0.01101565987 -0.001935588056
   8   2 0.00188154074 0.02720579439
   8  -2 -0.0644116653 0.006161933146
   8   3 -0.01435056575 0.01134514152
   8  -3 0.006901506489 0.01616261447
   8   4 0.02084830745 0.004164511786
   8  -4 0.03651193591 0.01057187756
   8   5 0.02704803017 -0.01715914043
   8  -5 0.05130311997 0.008214910932
   8   6 0.03813955281 0.009036307132
   8  -6 0.01540303931 0.04535451873
   8   7 -0.01785934522 0.03801799912
   8  -7 0.003236840783 -0.004283867787
   8   8 0.03759483492 -0.02244230557
   8  -8 0.0008506878608 -0.01164012323
   9   0 -0.01999250528 -0.0007582293524
   9   1 0.009760820688 0.01701701319
   9  -1 -0.009547911728 -0.004822342576
   9   2 0.02910934771 -0.005326171417
   9  -2 -0.008904226408 -0.002012612415
   9   3 0.008304762157 0.02251947002
   9  -3 -0.008027808421 0.03083470016
   9   4 -0.02142146263 -0.004751879559
   9  -4 0.01218365699 -0.009556832307
   9   5 0.02724028133 -0.01122260316
   9  -5 0.0193891783 0.0001259031884
   9   6 0.01061004269 0.003194267724
   9  -6 -0.01250098992 -0.00145428518
   9   7 0.01516644917 -0.01539309942
   9  -7 -0.003842387441 -0.01111350107
   9   8 -0.006503808888 -0.004670349791
   9  -8 -0.01966482761 0.01162954367
   9   9 0.0002495320145 -0.01380006161
   9  -9 0.001973653016 0.01120805897
  10   0 0.004132017265 -0.008166630127
  10   1 -0.02224716244 0.009496299217
  10  -1 0.01146659986 0.009747959132
  10   2 -0.02624957893 0.0109129376
  10  -2 0.006132154641 -0.006793088506
  10   3 -0.007344368095 0.03082609952
  10  -3 0.001788910624 0.005308110266
  10   4 -0.006835260642 0.01233062124
  10  -4 0.002634899415 0.008756003847
  10   5 0.002713833933 0.01301230836
  10  -5 0.007736397398 0.01833268343
  10   6 0.01832883878 0.007083578424
  10  -6 0.01712355501 0.02081876323
  10   7 0.02998477692 -0.004333734451
  10  -7 0.005805703285 0.009241901954
  10   8 0.01081472077 0.004532024418
  10  -8 0.01027587359 -0.0002222306605
  10   9 -0.008458583571 0.01786155656
  10  -9 0.01055811008 0.002819681145
  10  10 0.003084909131 -0.01011483001
  10 -10 0.004062231633 -0.009136460116
  11   0 0.002647857548 -0.002872174557
  11   1 -0.005728119658 -0.009875255416
  11  -1 -0.01315889216 0.007532737922
  11   2 -0.004430595008 0.007032261405
  11  -2 -0.0002215285892 0.007522073181
  11   3 0.01113384404 0.01215623544
  11  -3 0.0009993008995 -0.003312383801
  11   4 -0.003330882376 0.01722177722
  11  -4 -0.007142841698 0.0008425498902
  11   5 -0.00515125343 0.003042147789
  11  -5 -0.001646483143 0.009030240869
  11   6 -0.01808904033 0.01614409758
  11  -6 0.001428101843 0.01593770002
  11   7 -0.007869791818 0.01715583435
  11  -7 0.00806485085 -0.01390355792
  11   8 0.002691207433 -0.007085467121
  11  -8 -0.001945303608 -0.02714725474
  11   9 0.001393922674 -0.01672866154
  11  -9 -0.01023061724 0.007083496279
  11  10 -0.01280472757 -0.005604376894
  11 -10 0.002506525686 -0.007160114911
  11  11 0.007862032579 -0.003658052919
  11 -11 -0.007110264899 -0.00566957743
  12   0 0.001612194752 0.00242059209
  12   1 -0.02096405846 0.00126611795
  12  -1 0.001466499527 0.002714053623
  12   2 -0.007192894957 0.02333334109
  12  -2 0.006905734251 0.003848841687
  12   3 -0.0023479818 0.01579770868
  12  -3 0.009093691582 -0.008350940865
  12   4 0.01858943942 -0.004469365981
  12  -4 -0.01698401173 -0.008939448114
  12   5 -0.009829263523 0.009002408529
  12  -5 -0.004730622793 0.01324786181
  12   6 0.006934678265 0.009042563458
  12  -6 0.009572402642 0.004290402806
  12   7 0.02887533981 0.002485370582
  12  -7 0.01927302521 0.00921029307
  12   8 0.01785628413 0.008421852712
  12  -8 -0.006847660637 0.00971062155
  12   9 0.006486244239 0.01468559708
  12  -9 0.01101097032 0.001153522174
  12  10 0.01687560472 -0.005288997782
  12 -10 0.003699675071 -0.006069894709
  12  11 0.0003840297648 -0.007148265429
  12 -11 0.004905968821 -0.01313916968
  12  12 -0.002854924923 0.002962948128
  12 -12 0.003430087781 -0.00246611239
  13   0 -0.004190731951 -0.00124121767
  13   1 -0.002659931412 -0.003563174419
  13  -1 -0.006202456096 0.00245104769
  13   2 0.006847794083 0.003994320677
  13  -2 -0.004179041886 -0.0001674173519
  13   3 0.009405169057 0.01291148019
  13  -3 -0.002668787399 -3.893981209e-05
  13   4 0.007116713912 -0.0004400488072
  13  -4 -0.01019733526 -0.008435871442
  13   5 0.004139759363 0.01051802365
  13  -5 0.0005764127693 0.01200405782
  13   6 -0.007105427864 0.004138146234
  13  -6 0.00844344502 -0.004236920349
  13   7 -0.0008833259815 -0.0008334798766
  13  -7 0.01239790872 -0.0016010183
  13   8 0.006028809021 -0.005280792138
  13  -8 0.007304656181 -0.002532114187
  13   9 0.008725925919 -0.0097861307
  13  -9 -0.01573562727 -0.008272745696
  13  10 -0.002958261644 -0.002573728793
  13 -10 -0.01595830366 0.003964610465
  13  11 -0.008149167585 -0.00604391716
  13 -11 -0.0002513614805 0.0005098487231
  13  12 -0.009987945037 -0.001762651665
  13 -12 0.003841435945 -0.001881986367
  13  13 0.03478516834 0.01180617236
  13 -13 -0.003511778594 0.01787299628
  14   0 -0.005570558982 -0.005612169321
  14   1 -0.003757666172 0.003419897411
  14  -1 -0.004782571276 0.01085122469
  14   2 -0.00755329674 0.009249321717
  14  -2 0.007309910361 -0.003189005991
  14   3 0.002772383639 0.01791996746
  14  -3 0.009238575747 -0.009023654999
  14   4 0.006995416049 -0.002458015669
  14  -4 -0.007539665042 -0.01688354338
  14   5 -0.01211965965 -0.005555813073
  14  -5 -0.001811304646 0.00523725127
  14   6 -0.005184674643 0.009669846908
  14  -6 0.001975929895 0.00536168818
  14   7 0.01034903587 0.002928025563
  14  -7 0.007364795225 -0.006804510381
  14   8 0.0243536811 0.00739059586
  14  -8 -0.002507711722 -0.007123556079
  14   9 0.00550013116 -0.002356896805
  14  -9 -0.01265921684 0.008415885134
  14  10 0.006228067534 -0.00180963269
  14 -10 0.0004642799571 -0.001157724226
  14  11 0.005202672216 -0.003019029201
  14 -11 -0.005504862249 0.002970748311
  14  12 0.002925002855 -0.001254881412
  14 -12 -0.00347740873 -0.006488710595
  14  13 -0.002010317878 0.002473484218
  14 -13 0.002069739676 -0.003931451767
  14  14 0.002716553651 0.004704256863
  14 -14 -0.001069498485 0.00582380229
  15   0 0.0003484989071 -0.002982864569
  15   1 0.0005549331889 0.00303486379
  15  -1 -0.0001722933621 0.0001964790414
  15   2 0.001159396318 -0.003926112179
  15  -2 0.006297490253 0.003538826356
  15   3 0.006506773216 0.004062908777
  15  -3 -0.007496991769 -0.003993122563
  15   4 0.0009673099242 0.005877218607
  15  -4 -0.00664234724 -0.01220066415
  15   5 0.002124673207 0.0123367545
  15  -5 0.002943957316 0.004067012774
  15   6 -0.0002310445994 0.0163628632
  15  -6 0.0003316342436 -0.002983638028
  15   7 -0.001246764747 -0.0004026934255
  15  -7 -2.884657445e-05 0.005250701767
  15   8 0.003408968352 0.005946941561
  15  -8 -0.005065428129 0.004056697474
  15   9 0.004279967585 0.003882238311
  15  -9 0.001932635277 0.0002334608035
  15  10 0.00359539706 0.001367955855
  15 -10 -6.765470838e-05 -0.009667757799
  15  11 -0.008927281877 -0.007438959979
  15 -11 0.001782566013 -0.002812402257
  15  12 -0.003668924105 -0.005744627732
  15 -12 0.005626764946 0.005500659472
  15  13 0.01380523764 0.007790455842
  15 -13 -0.0004766513967 0.01197665907
  15  14 -9.21834237e-05 0.001866094517
  15 -14 -0.0001618218127 0.00410863636
  15  15 0.003181175184 -0.004339599164
  15 -15 0.00138071877 -0.001664596145
  16   0 -0.01000089203 0.01392020014
  16   1 0.006283211381 0.002082091865
  16  -1 -0.003143794444 0.00683263205
  16   2 -0.001288455569 -0.0004910542785
  16  -2 0.001848897155 0.007498442253
  16   3 0.005911618435 0.001640361185
  16  -3 0.002019464042 0.005033848158
  16   4 0.008664737349 -0.0006965202718
  16  -4 -0.006238895514 -0.01106541548
  16   5 -0.007244068642 -0.005156445408
  16  -5 -0.0008675533835 0.001011099894
  16   6 -0.00235432125 0.001572967067
  16  -6 -0.003096103739 0.006362249694
  16   7 0.002066311748 0.001653900755
  16  -7 0.002814263586 0.004817453007
  16   8 0.005568717362 0.005835718981
  16  -8 0.004719460534 -0.01053927337
  16   9 0.004362271384 -0.001140482803
  16  -9 -0.004167291364 -0.005124886287
  16  10 0.001365321021 -0.005578324695
  16 -10 7.224728038e-05 -0.002975377396
  16  11 -0.004049552 -0.001586627465
  16 -11 -0.005523261006 -0.0005837725099
  16  12 0.007607946193 0.001024566941
  16 -12 0.003369837608 -0.001734989759
  16  13 0.005909454182 -0.000507375001
  16 -13 -0.004878793127 -0.003429933407
  16  14 0.009293574751 -0.005703714711
  16 -14 0.000194346109 0.005044117093
  16  15 0.0009230414539 -0.002599391398
